"id","tender_No","type","delivery","department","date_Published","cbrief","cd","dp","closing_Date","brief","compulsory_briefing_session","status","category","description","province","contactPerson","email","telephone","fax","briefingVenue","conditions","bf","bc"
38290,"TBH 303/2022R","Request for Bid(Open-Tender)","FRANCIE VAN ZIJL - TYGERBERG - CAPE TOWN - 7500","Tygerburg Hospital","2022-11-04T00:00:00",false,"Friday, 02 December 2022 - 11:00","Friday, 04 November 2022","2022-12-02T11:00:00","<not available>",,"Published","Food and beverage service activities","TBH 303/2022R: MULTI-SUPPLIER BID FOR THE SUPPLY AND DELIVERY OF FROZEN CHICKEN PRODUCTS FOR THE FOOD SERVICES DEPARTMENT AT TYGERBERG HOSPITAL OVER A TWELVE (12) MONTH PERIOD, EFFECTIVE 1 JANUARY 2023 UNTIL 31 DECEMBER 2023 WITH AN OPTION TO EXTEND ON A MONTH-TO-MONTH BASIS NOT EXCEEDING FOUR (4) MONTHS. ","Western Cape","Gail Isaacs","Gail.Isaacs@westerncape.gov.za","021-938-4981","N/A",,"A NON-REFUNDABLE FEE OF R50.00 WILL BE CHARGED PER BID FOR ALL FORMAL BIDS INVITED BY THIS DEPARTMENT. TO BE PAID AT TYGERBERG HOSPITAL - NEDBANK, ACCOUNT NAME: PROVINCIAL GOVERNMENT OF THE WESTERN CAPE - TYGERBERG HOSPITAL; CHEQUE ACCOUNT. ACCOUNT NO. 1452045259; BRANCH NAME: NEDBANK CORPORATION; BRANCH CODE: 145209 OR CASH PAYMENT CAN BE MADE AT ROOM 46 ADMIN BUILDING. "," NO"," NO"
38617,"GT/GIFA/095/2022","Request for Bid(Open-Tender)","82 Grayston Drive - Sandown, Sandton - JOHANNESBURG - 2196","Gauteng - Gauteng Infrastructure Funding Agency","2022-11-04T00:00:00",true,"Friday, 25 November 2022 - 11:00","Friday, 04 November 2022","2022-11-25T11:00:00","Friday, 11 November 2022 - 09:00","2022-11-11T09:00:00","Published","Services: Professional","ADVISORY SERVICES TO CONDUCT A FEASIBILITY STUDY, PROCUREMENT UP TO FINANCIAL CLOSE FOR THE    COMMERCIALISATION OF THE GAUTENG BROADBAND NETWORK (GBN) ON BEHALF OF THE GAUTENG DEPARTMENT OF E-GOVERNMENT","Gauteng","Pauline Rapodile","manare.rapodile@gauteng.gov.za","011-689-6179","011-689-6179","Imbumba House, Johannesburg, Ground Floor Auditorium","N/A","Yes","Yes"
38641,"FSCOGTA 001OF 2022/2023","Request for Quotation",,"Free State - Corporate Governance Traditional Affairs","2022-11-04T00:00:00",false,"Monday, 28 November 2022 - 11:00","Friday, 04 November 2022","2022-11-28T11:00:00","<not available>",,"Published","Food and beverage service activities","APPOINTMENT OF SERVICE PROVIDERS TO RENDER CATERING SERVICES FOR THE FREE STATE DEPARTMENT OF COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS (COGTA) AND TO ALL DISTRICTS OF COGTA WITHIN THE PROVINCE FOR A PERIOD OF THREE YEARS.","Free State","Puseletso Ohimile","puseletso.ohimile@fscogta.gov.za","051-405-4313","N/A",,"N/A"," NO"," NO"
38643,"DPWFS (T) 002/2022","Request for Bid(Open-Tender)",,"Free State - Public Works","2022-11-04T00:00:00",true,"Friday, 02 December 2022 - 11:00","Friday, 04 November 2022","2022-12-02T11:00:00","Wednesday, 23 November 2022 - 10:00","2022-11-23T10:00:00","Published","Services: Building","APPOINTMENT OF A SUITABLY QUALIFIED CONTRACTOR, JOINT VENTURE OR CONSORTIUM FOR REFURBISHMENT, UPGRADING AND COMPLETION OF EXISTING H-BLOCK, CSSD, KITCHEN, ADMINISTRATION, MEDICAL BLOCKS AND MORTUARY AT BOITUMELO HOSPITAL.","Free State","Ms. Lesedi Moleme","molemel@fsworks.gov.za","051-492-3886","N/A","Boitumelo Hospital, Smaldeel Road, Kroonstad Rural, Kroonstad","N/A","Yes","Yes"
38764,"DRT07/06/2022","Request for Bid(Open-Tender)","45 Commissioner Street, Johannesburg. -  Marshalltown - Johannesburg - 2000","Gauteng - Roads and Transport","2022-11-04T00:00:00",true,"Wednesday, 07 December 2022 - 11:00","Friday, 04 November 2022","2022-12-07T11:00:00","Tuesday, 15 November 2022 - 10:00","2022-11-15T10:00:00","Published","Services: Professional","Supply and Application of Dilute Emulsions on various roads for a period of three years: all 5 Regions in the Gauteng Province.","Gauteng","Supply Chain Management","drt.scmbidadmin@gauteng.gov.za","011-355-7000","011-355-7000","Department of Roads and Transport, Main Boardroom,1215 Nico Smith Street, Koedoespoort - Pretoria.","The Department reserves the right to cancel/not award this tender to any party.","Yes","Yes"
38766,"MN 130-2022","Request for Bid(Open-Tender)","34 CHIEF ALBERT LUTHULI STR C/O OK MALL BUILDING  HR BU - KWADUKUZA - KWADUKUZA /STANGER - 4450","Kwadukuza Municipality","2022-11-04T00:00:00",true,"Thursday, 08 December 2022 - 12:00","Friday, 04 November 2022","2022-12-08T12:00:00","Friday, 25 November 2022 - 10:00","2022-11-25T10:00:00","Published","Supplies: Medical","TENDER MN 130-2022 APPOINTMENT OF PANEL SERVICE PROVIDERS FOR PROVISION OF KDM STAFF MEDICAL AND PSYCHOLOGICAL ASSISTANCE FOR PERIOD OF 3 YEARS:   SEE ATTACHED ADVERT OR   www.kwadukuza.gov.za website (tenders) for more clarity of advert
tender doc available from 4/11/2022 until 3pm on 24 November 2022::
","KwaZulu-Natal","MANDLA NGCAMU","mandlan@kwadukuza.gov.za","032-437-5148","032-437-5149","34/36 CHIEF ALBERT LUTHULI ST OK MALL BUILDING -B/ROOM","compulsory clarification meeting, with representatives of the Employer, will take place at  34/36 Chief Albert Luthuli street, OK Mall Building- OK mall board Room  KwaDukuza,on 25 NOVEMBER 2022 starting at 10H00.  closing date 8 December 2022- see advert more clarity/details","Yes","Yes"
38816,"DBNQ22/11/03","Request for Quotation","Empangeni Magistrate Court - Empangeni - Empangeni - 3880","Public Works","2022-11-04T00:00:00",true,"Friday, 18 November 2022 - 11:00","Friday, 04 November 2022","2022-11-18T11:00:00","Thursday, 10 November 2022 - 11:00","2022-11-10T11:00:00","Published","Services: Professional","Department of Justice : Empangeni Magistrate Court: Installation of Main Air-Conditioning Plan Units and Upgrading of Electricity:  Appointment of Mechanical engineering PSB.","National","Zama Magubane","zama.magubane@dpw.gov.za","031-314-7333","N/A","Empangeni Magistrate Court","A tenderer complies with pre-qualification criteria for Preferential Procurement as stated on the tender document that:
A tenderer having stipulated minimum B-BBEE  Status level of Contributor of Level 1.

Submission of valid original sworn affidavit BBBEE certificate attested by the commissioner of oaths or valid SANAS approved BBBEE certificate to be verified (Not copy of certified copy). 

It is compulsory that service providers must be registered on the Central Supplier Database.
","Yes","Yes"
38822,"DBN22/11/03","Request for Bid(Open-Tender)","Amajuba District - Newcastle - Newcastle - 2940","Public Works","2022-11-04T00:00:00",true,"Tuesday, 29 November 2022 - 11:00","Friday, 04 November 2022","2022-11-29T11:00:00","Wednesday, 16 November 2022 - 10:00","2022-11-16T10:00:00","Published","Services: Electrical","All Clients: DCS, SANDF, SAPS Justice & Others: Amajuba District, Uthungulu District, Zululand District & Umzinyathi District.
36 Months Term Contract for Service, Repair and Maintenance of Stand-by Generators.
","National","Realeboha  Lebona","realeboha.lebona@dpw.gov.za","031-314-7370","N/A","Dept. of Public Works: Ground Floor Boardroom: Durban","A tenderer complies with pre-qualification criteria for Preferential Procurement  as stated on the tender document that :
A tenderer having stipulated minimum B-BBEE status level of contributor of level 1.

Submission of valid original sworn affidavit B-BBEE certificate attested by the commissioner of oaths or valid SANAS approved B-BBEE
certificate to be verified (not copy of certified copy).

It is compulsory that bidders are registered on the Central Supplier Database (CSD) and have CIDB Requirement of 3EB or Higher.
","Yes","Yes"
38824,"DBN22/11/04","Request for Bid(Open-Tender)","Uthukela District - Uthukela - Umnambithi, Umtshezi, Okhahlamba - 3550","Public Works","2022-11-04T00:00:00",true,"Wednesday, 30 November 2022 - 11:00","Friday, 04 November 2022","2022-11-30T11:00:00","Wednesday, 16 November 2022 - 10:00","2022-11-16T10:00:00","Published","Services: Electrical","All Clients: DCS, SANDF, SAPS Justice & Others: Uthukela District, Ilembe District & Ugu District :36 Months Term Contract for Service, Repair and Maintenance of Stand-by Generators.
","National","Realeboha  Lebona","realeboha.lebona@dpw.gov.za","031-314-7370","N/A","Dept. of Public Works: Ground Floor Boardroom Durban","A tenderer complies with pre-qualification criteria for Preferential Procurement  as stated on the tender document that :
A tenderer having stipulated minimum B-BBEE status level of contributor of level 1.

Submission of valid original sworn affidavit B-BBEE certificate attested by the commissioner of oths or valid SANAS approved B-BBEE
certificate to be verified (not copy of certified copy).

It is compulsory that bidders are registered on the Central Supplier Database (CSD) and have CIDB Requirement of 2EB or Higher.
","Yes","Yes"
38830,"DBN22/11/01","Request for Bid(Open-Tender)","EThekwini - Durban - Durban - 4001","Public Works","2022-11-04T00:00:00",true,"Monday, 05 December 2022 - 11:00","Friday, 04 November 2022","2022-12-05T11:00:00","Wednesday, 16 November 2022 - 10:00","2022-11-16T10:00:00","Published","Services: Electrical","All Clients: DCS, SANDF, SAPS Justice & Others: Ethekwini North, Ethekwini South, Umgungundlovu & Sisonke District.
36 Months Term Contract for Service, Repair and Maintenance of Stand-by Generators.
","National","Realeboha  Lebona","realeboha.lebona@dpw.gov.za","031-314-7370","N/A","Dept. of Public Works: Ground Floor Boardroom: Durban","A tenderer complies with pre-qualification criteria for Preferential Procurement  as stated on the tender document that :
A tenderer having stipulated minimum B-BBEE status level of contributor of level 1.

Submission of valid original sworn affidavit B-BBEE certificate attested by the commissioner of oths or valid SANAS approved B-BBEE
certificate to be verified (not copy of certified copy).

It is compulsory that bidders are registered on the Central Supplier Database (CSD) and have CIDB Requirement of 4EB or Higher.
","Yes","Yes"
