"id","tender_No","type","delivery","department","cbrief","cd","dp","date_Published","brief","closing_Date","compulsory_briefing_session","status","category","description","province","contactPerson","email","telephone","fax","briefingVenue","conditions","biddersdoc","biddersdoclink","bf","bc","company","award_contact","contactNumber","dateModified","bidders"
38743,"CORP 5651","Request for Proposal","Eskom Megawatt Park Tender Office - Sunninghill - Johannesburg - 2000","ESKOM",false,"Friday, 11 November 2022 - 12:00","Wednesday, 02 November 2022","2022-11-02T00:00:00","<not available>","2022-11-11T12:00:00",,"Awarded","Services: Professional","REGRET LETTER FOR THE PROVISION OF QUANTITY SURVEYING IN ESKOM","National","Sebotse Lesejane","lesejass@eskom.co.za","011-800-3736","011-800-3736",,"No responses required","",""," NO"," NO","N/A",,,,""
38638,"It is a deviation ","Deviation","Lilian Ngoyi - Pretoria - Pretoria - 0200","Unemployment Insurance Fund",false,"Wednesday, 02 November 2022 - 11:00","Tuesday, 01 November 2022","2022-11-01T00:00:00","<not available>","2022-11-02T11:00:00",,"Awarded","Legal and accounting activities","REQUEST FOR APPROVAL TO DEVIATE FROM THE NROMAL PROCUREMENT PROCESSES AND APPOINT ADAPT IT THROUGH THE SIGNLE SOURCE PROCUREMENT PROCESSES FOR THE CASEWARE LICENSES FOR A PERIOD OF TWELVE (12)  MONTHS FOR THE UNEMPLOYMENT INSURANCE FUND. ","Gauteng","W. Kruger ","wilmari.kruger@labour.gov.za","012-337-1876","N/A",,"None ","",""," NO"," NO","N/A",,,,""
38644,"It is a deviation ","Deviation","Lilian Ngoyi - Pretoria - Pretoria - 0200","Unemployment Insurance Fund",false,"Wednesday, 02 November 2022 - 11:00","Tuesday, 01 November 2022","2022-11-01T00:00:00","<not available>","2022-11-02T11:00:00",,"Awarded","Transportation and storage","REQUEST FOR APPROVAL TO DEVIATE FROM THE NORMAL PROCUREMENT PROCESSES AND EXTEND THE CONTRACT ENTERED INTO BETWEEN UNEMPLOYMENT INSURANCE FUND AND METROFILE (PTY) LTD TO RENDER OFF-SITE RECORDS STORAGE FOR THE PERIOD NOT EXCEEDING SIX (06) MONTHS WITHOUT ADDITIONAL FINANCIAL IMPLICATION.","Gauteng","W. Kruger ","wilmari.kruger@labour.gov.za","012-337-1876","N/A",,"None ","",""," NO"," NO","N/A",,,,""
38494,"MPKEN10444PS ","Request for Bid(Open-Tender)","Ogies / Bethal  - Witbank  - Witbank / Emalahleni  - 1035","ESKOM",false,"Saturday, 30 September 2023 - 11:00","Monday, 31 October 2022","2022-10-31T00:00:00","<not available>","2023-09-30T11:00:00",,"Awarded","Services: Civil","MPKEN10444PS Regret Letter_PROCURE, SUPPLY AND DELIVERY OF SODIUM BENTONITE","Mpumalanga","Yolisa Mbeya ","MbeyaY@eskom.co.za","017-615-2676","086-219-5154",,"N/A","","","Yes","Yes","N/A",,,,""
38310,"MPGXC006546: REGRET LETTER","Request for Bid(Open-Tender)",,"ESKOM",false,"Monday, 07 November 2022 - 10:00","Friday, 28 October 2022","2022-10-28T00:00:00","<not available>","2022-11-07T10:00:00",,"Awarded","Services: General","REGRET LETTER: Provision of Weightometers calibration and maintenance at Duvha Power Station for a
period of 60 (sixty) months","Mpumalanga","Vitoria Selepe","victoria.selepe@eskom.co.za","013-690-0514","086-539-1965",,"N/A","",""," NO"," NO","N/A",,,,""
38220,"CGE/T/02/2022/23","Request for Bid(Open-Tender)","2 Kotze Street - Braamfontein - Johannesburg - 2000","Commission for Gender Equality",false,"Sunday, 27 November 2022 - 11:00","Thursday, 27 October 2022","2022-10-27T00:00:00","<not available>","2022-11-27T11:00:00",,"Awarded","Legal and accounting activities","Panel of Attorneys","National","Shadrack","shadrack@cge.org.za","011-403-7182","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37959,"MWP1056TX","Request for Proposal","Maxwell Drive - SUNNINGHILL - JOHANNESBURG - 2000","ESKOM",false,"Wednesday, 09 November 2022 - 10:00","Tuesday, 25 October 2022","2022-10-25T00:00:00","<not available>","2022-11-09T10:00:00",,"Awarded","Supplies: Electrical Equipment","REGRET LETER-Provision for hazardous location installation, assessment, inspection, testing and issuing of certificate of compliance","National","Nokwabelwa Khanyile","khanyign@eskom.co.za","011-800-6232","086-666-7041",,"N/A","",""," NO"," NO","N/A",,,,""
37821,"MWP1326TX","Request for Proposal","MA - SUNNINGHILL - JOHANNESBURG - 2000","ESKOM",false,"Monday, 07 November 2022 - 11:00","Monday, 24 October 2022","2022-10-24T00:00:00","<not available>","2022-11-07T11:00:00",,"Awarded","Construction","Provision for the perimeter fence & access control repairs at Etna; Pelly, Minerva, Rigi, Snowdon and Taunus Substations","National","Nokwabelwa Khanyile","khanyign@eskom.co.za","011-800-6232","086-666-7041",,"N/A","",""," NO"," NO","N/A",,,,""
38507,"53949","Request for Proposal","175 COROBAY AVE, BLOCK B, MENLYN COPORATE PARK - WATERKLOOF GLEN EX11,  - PRETORIA - 0181","South African Local Government Association",false,"Monday, 31 October 2022 - 11:00","Monday, 24 October 2022","2022-10-24T00:00:00","<not available>","2022-10-31T11:00:00",,"Awarded","Activities of head offices; management consultancy activities","Appointment of a service provider to investigate different types of partnerships between local government and private sector that could enhance private sector investment in infrastructure and service delivery.","National","Lindiwe Mhlongo","lmhlongo@salga.org.za","012-369-8000","012-369-8001",,"N/A","",""," NO"," NO","NEMAI CONSULTING","Lindiwe Mhlongo","012-369-8000",,""
37333,"MPMAJ10270PS","Request for Bid(Open-Tender)","Eskom UCG  - ARMERSFOORT - ARMERSFOORT - 2490","ESKOM",false,"Thursday, 03 November 2022 - 00:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-11-03T00:00:00",,"Awarded","Services: General","Provision of general maintenance services for the Majuba Rail Project","Mpumalanga","Peloame Mosinyi","tiroph@eskom.co.za","013-690-0768","086-660-3445",,"Notification  award for Enquiry Number  MPMAJ10270PS for the provision of general maintenance services for the Majuba Rail Project
REFER to the signed letter attached","",""," NO"," NO","N/A",,,,""
