"id","tender_No","type","delivery","department","cbrief","cd","dp","date_Published","brief","closing_Date","compulsory_briefing_session","status","category","description","conditions","province","contactPerson","email","telephone","fax","briefingVenue","bf","bc","reason"
38963,"TMT-LDOE-2022/23- LPCL8H","Request for Bid(Open-Tender)","25 RHODESDRIFT - BENDOR - POLOKWANE - 0699","THE MVULA TRUST",true,"Friday, 25 November 2022 - 11:00","Friday, 04 November 2022","2022-11-04T00:00:00","Friday, 25 November 2022 - 11:00","2022-11-25T11:00:00","2022-11-25T11:00:00","Cancelled","Construction of buildings","CONSTRUCTION OF WATER, SANITATION & FENCING INFRASTRUCTURE AT NWELI PRIMARY SCHOOL IN LIMPOPO PROVINCE","N/A","Limpopo","MDUDUZI NTULI","mduduzin@themvulatrust.org.za","011-403-3425","N/A","Benson Shiviti Primary School in Thomo Village ","Yes"," Yes","Wrong BOQ"
38980,"GTAC 002-2022-23","Request for Bid(Open-Tender)","240 MADIBA STREET  - PRETORIA - PRETORIA - 0002","Government Technical Advisory Centre (GTAC)",false,"Friday, 25 November 2022 - 11:00","Friday, 04 November 2022","2022-11-04T00:00:00","<not available>","2022-11-25T11:00:00",,"Cancelled","Services: Professional","ESTABLISHMENT OF A GOVERNMENT TECHNICAL ADVISORY CENTRE PANEL (GTAC) PANEL OF PROFESSIONAL 
SERVICE PROVIDERS FOR A PERIOD OF THREE (3) YEARS – MUNICIPAL FINANCE IMPROVEMENT PROGRAMME (MFIP 
IIIx)","Please ensure that you make use of the attached template to avoid a disqualification","Gauteng","Itumeleng Likotsi","PSP@gtac.gov.za","012-315-5572","N/A",,"N/A"," NO","TO BE RIVISED"
39065,"RFQ/FIN/2022/89","Request for Quotation","Corner attilery and Henley Road - Auckland Park  - Johannesburg  - 2006","South African Broadcasting Corporation Limited",false,"Wednesday, 30 November 2022 - 11:00","Friday, 04 November 2022","2022-11-04T00:00:00","<not available>","2022-11-30T11:00:00",,"Cancelled","Administrative and support activities","SAP LEAVE CONFIGURATION REVIEW SERVICES.","N/A","National","Asa","tenderqueries@sabc.co.za","011-714-4644","N/A",,"N/A"," NO",
39066,"UIF2/2022","Request for Proposal","Lillian Ngoyi - Pretoria Central - Pretoria - 0002","Labour",false,"Monday, 07 November 2022 - 11:00","Friday, 04 November 2022","2022-11-04T00:00:00","<not available>","2022-11-07T11:00:00",,"Cancelled","Transportation and storage","Request for approval to appoint a service provider to provide Off-Site storage services to the Unemployment Insurance Fund for a period of thirty-six (36) months.","N/A","Gauteng","W. Kruger","UIFTenders@labour.gov.za","012-337-1876","N/A",,"N/A"," NO",
39069,"UIF6/2021","Request for Proposal","Lillian Ngoyi - Pretoria Central - Pretoria - 0002","Labour",false,"Monday, 07 November 2022 - 11:00","Friday, 04 November 2022","2022-11-04T00:00:00","<not available>","2022-11-07T11:00:00",,"Cancelled","Printing and reproduction of recorded media","Request for approval to appoint a panel of  service providers to render Graphic Design, Editing, Translation and Printing services to the Unemployment Insurance Fund for a period of thirty six (36) months","n/a","Gauteng","W. Kruger","UIFTenders@labour.gov.za","012-337-1876","N/A",,"N/A"," NO",
38860,"SCM/MLM27/22-23 ","Request for Quotation","Corner King and Mthatha Street - Butterworth - Butterworth - 4960","Mnquma Local Municipality",false,"Thursday, 10 November 2022 - 12:00","Thursday, 03 November 2022","2022-11-03T00:00:00","<not available>","2022-11-10T12:00:00",,"Cancelled","Other service activities","Supply and Delivery of Soccer, Netball and Volleyball Kit ","Tender documents for this project are downloadable at the municipal website: www.mnquma.gov.za and on eTender portal: http://etenders.treasury.gov.za/","Eastern Cape","S  Qwaka","sqwaka55@gmail.com","047-050-1155","N/A",,"N/A"," NO","Error"
38922,"TCC/2022/11/0294/15886/RFP","Request for Bid(Open-Tender)","150 Commissioner Street - Marshalltown - Johannesburg - 0001","Transnet SOC Ltd",false,"Thursday, 17 November 2022 - 11:00","Thursday, 03 November 2022","2022-11-03T00:00:00","<not available>","2022-11-17T11:00:00",,"Cancelled","Food and beverage service activities","FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR NON-ALCOHOLIC & ALCOHOLIC DRINKS FOR THE BLUE TRAIN FOR A PERIOD OF 16 MONTHS","FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR NON-ALCOHOLIC & ALCOHOLIC DRINKS FOR THE BLUE TRAIN FOR A PERIOD OF 16 MONTHS","National","Nhlanhla Caluza","Nhlanhla.Caluza@transnet.net","011-308-3508","N/A",,"N/A"," NO","Amendments "
38972,"RFQ/LOG/2022/130","Request for Quotation","Corner attilery and Henley Road - Auckland Park  - Johannesburg  - 2006","South African Broadcasting Corporation Limited",false,"Wednesday, 30 November 2022 - 11:00","Thursday, 03 November 2022","2022-11-03T00:00:00","<not available>","2022-11-30T11:00:00",,"Cancelled","Administrative and support activities","MAINTENANCE, SERVICE AND REPAIRS OF X-RAY MACHINE AND WALK-THROUGH METAL DETECTOR FOR A PERIOD OF 3 YEARS AT SABC OFFICES MBOMBELA.","N/A","National","Tender office","tenderqueries@sabc.co.za","011-714-4644","N/A",,"N/A"," NO",
37640,"CGS-2022-018A","Request for Proposal","280 Pretoria Street, Silverton - Silverton - Pretoria - 0001","Council for Geoscience",true,"Tuesday, 22 November 2022 - 11:00","Wednesday, 02 November 2022","2022-11-02T00:00:00","Monday, 31 October 2022 - 11:00","2022-11-22T11:00:00","2022-10-31T11:00:00","Cancelled","Construction of buildings","APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND INSTALL 26 LINES OF ELECTRIC FENCING INCLUDING THREE (3) YEARS OF MAINTENANCE SERVICES TO THE COUNCIL FOR GEOSCIENCE HEAD OFFICE","Minimum 3SQ requirement ","Gauteng","Asanda Nase","anase@geoscience.org.za","012-841-1537","N/A","280 Pretoria Street, Silverton","Yes"," Yes",
38729," MICT/SETA/MIS/18/2021","Request for Bid(Open-Tender)","19 Richard Drive - Halfway House - Midrand - 1685","Media, Information and Communication Technologies Sector Education and training Authority (MICT SETA)",false,"Thursday, 03 November 2022 - 11:00","Wednesday, 02 November 2022","2022-11-02T00:00:00","<not available>","2022-11-03T11:00:00",,"Cancelled","Information and communication","APPOINTMENT OF SERVICE PROVIDER 
FOR LICENSING, IMPLEMENTATION, SUPPORT AND MAINTENANCE OF THE MANAGEMENT 
INFORMATION SYSTEM (MIS) AND DECISION SUPPORT SYSTEM (DSS) OF THE MICT SETA FOR A 
PERIOD OF FIVE (05) YEARS
","CANCELLED.","Gauteng","SCM","rfqs@mict.org.za","011-207-2600","N/A",,"N/A"," NO",
