"id","tender_No","type","delivery","department","cbrief","cd","dp","date_Published","brief","closing_Date","compulsory_briefing_session","status","category","description","province","contactPerson","email","telephone","fax","briefingVenue","bf","bc","conditions"
39043,"MN 112-2021","Request for Bid(Open-Tender)","NO 2 INDUSTRIA CRESCENT - KWADUKUZA - KWADUKUZA /STANGER - 4450","Kwadukuza Municipality",true,"Friday, 04 March 2022 - 12:00","Friday, 04 November 2022","2022-11-04T00:00:00","Friday, 25 February 2022 - 13:00","2022-03-04T12:00:00","2022-02-25T13:00:00","Closed","Services: Electrical","TENDER MN 112-2021 APPOINTMENT OF CONTRACTOR FOR MV SUBSTATIONS UPGRADE AND REFURBISHMENT A PERIOD OF THREE YRS","KwaZulu-Natal","DHANESH RAMPERSADH","dhaneshr@kwadukuza.gov.za","032-437-5115","032-437-5087","PMU BOARD ROOM NO 2 INDUSTRIA CRES LAVOIPIERRE BUILDING YARD COMPLEX {BACK ENTRY}IN/OUT CAR PARK"," Yes","Yes","SEE ATTACHED ALREADY ADVERTISED THIS TENDER RECREATED AS IT WAS CANCELLED IN ERROR"
38640,"ZNQ04263/00000/00/HOD/GEN/22/T","Request for Quotation","172 Burger Street - PIETERMARTZBURG - PIETERMARTZBURG - 3201","Kwazulu Natal - Transport",false,"Thursday, 03 November 2022 - 11:00","Tuesday, 01 November 2022","2022-11-01T00:00:00","<not available>","2022-11-03T11:00:00",,"Closed","Services: Functional (Including Cleaning and Security Services)","SUPPLY OF ONE MONTH SECURITY GUARDING SERVICE AT HEAD OFFICE","KwaZulu-Natal","SNE MAJOLA","sne.majola@kzntransport.gov.za","033-355-8972","N/A",," NO"," NO","N/A"
38031,"EPMLM/8/3/415",,"2 Ficus Street - Marble Hall - Marble Hall - 0450","Ephraim Mogale Local Municipality",false,"Friday, 23 December 2022 - 16:30","Wednesday, 26 October 2022","2022-10-26T00:00:00","<not available>","2022-12-23T16:30:00",,"Closed","Construction","PROJECT VALIDITY EXTENSION - Appointment into panel of Contractors for Civil Engineering Projects for a period of 36 months on a need basis for CIDB grading 2CE to 7CE","Limpopo","Solomon Marima","smarima@emogalelm.gov.za","013-261-8471","N/A",," NO"," NO","Project validity extension"
37773,"LPMED0058GX","Request for Bid(Open-Tender)","Medupi Power Station - Lephalale - Lephalale - 0555","ESKOM",false,"Wednesday, 16 November 2022 - 14:00","Monday, 24 October 2022","2022-10-24T00:00:00","<not available>","2022-11-16T14:00:00",,"Closed","Electricity, gas, steam and air conditioning","Supply of Metallographic replication, drone inspection and tube solo NDT services for Outage Work and/or Opportunity Maintenance at Medupi Power Station for a period of 3 years on an “as and when required basis”.","Limpopo","Constance Sekhuto","mogolamc@eskom.co.za","016-457-5925","N/A","MS Teams -Date To be communicated"," NO"," NO","N/A"
37523,"IUCMA/006/OFFICESPACEBB/2022 (RE-ADVERT)","Request for Bid(Open-Tender)","13 streak street - Mbombela - City of Mbombela - 1200","Inkomati Catchment Management Agency",false,"Tuesday, 15 November 2022 - 11:00","Friday, 21 October 2022","2022-10-21T00:00:00","<not available>","2022-11-15T11:00:00",,"Closed","Rental and leasing activities","LEASE OFFICE ACCOMMODATION FOR THE INKOMATI-USUTHU CATCHMENT MANAGEMENT AGENCY BUSHBUCKRIDGE OFFICE FOR A PERIOD OF THREE (3) YEARS","Mpumalanga","Mr Ntokozo Hlatshwayo","hlatshwayon@iucma.co.za","013-753-9000","N/A",," NO"," NO","As per attached bid document "
37580,"COR 6942/2022/RFP","Request for Bid(Open-Tender)","Jones Street - Kemp Park - GAUTENG - 1867","Airports Company of South Africa",true,"Tuesday, 15 November 2022 - 12:00","Friday, 21 October 2022","2022-10-21T00:00:00","Friday, 21 October 2022 - 10:00","2022-11-15T12:00:00","2022-10-21T10:00:00","Closed","Information service activities","REQUEST FOR PROPOSALS FOR THE PROVISION OF CUSTOMER RELATIONSHIP MANAGEMENT SOLUTION WITH SUPPORT AND MAINTENANCE FOR A PERIOD OF SIXTY (60) MONTHS AT AIRPORTS COMPANY SOUTH AFRICA SOC LIMITED (ACSA)","National","Patricia Nkambule","patricia.nkambule@airports.co.za","011-723-1533","N/A","VIRTUAL"," Yes","Yes","THIS TENDER WAS ADVERTISED  ON THE 14 ON E TENDER BUT DUE TO TECHNICAL GLITCH IT WAS NOT SHOWING"
37622,"BV1018/2022","Request for Bid(Open-Tender)","Worcester - Worcester - Worcester - 6850","Breede Valley Municipality",true,"Friday, 18 November 2022 - 11:00","Friday, 21 October 2022","2022-10-21T00:00:00","Wednesday, 02 November 2022 - 11:00","2022-11-18T11:00:00","2022-11-02T11:00:00","Closed","Services: Professional","MECHANICAL AND ELECTRICAL UPGRADING OF VARIOUS SEWER PUMPSTATIONS (INCLUDING SAFEGUARDING ) WITHIN THE BREEDE VALLEY MUNICIPAL AREA","Western Cape","Taygan Brown","tbrown@bvm.gov.za","023-348-2956","N/A","Smart Boardroom, 1st floor, Civic Centre, 30 Baring Street, Worcester"," Yes","Yes","N/A"
37624,"IYM SCMU RFQ 43-2022/2023","Request for Quotation","201 main street  - cofimvaba - cofimvaba - 5380","Intsika Yethu Local Municipality",false,"Monday, 31 October 2022 - 12:00","Friday, 21 October 2022","2022-10-21T00:00:00","<not available>","2022-10-31T12:00:00",,"Closed","Supplies: Stationery/Printing","SUPPLY AND DELIVERY OF STATIONERY","Eastern Cape","D MPEKULA","mzanywaa@intsikayethu.gov.za","047-874-8700","047-874-0010",," NO"," NO","N/A"
37627,"IYM SCMU 47-2022/2023","Request for Quotation","201 main street  - cofimvaba - cofimvaba - 5380","Intsika Yethu Local Municipality",false,"Monday, 31 October 2022 - 12:00","Friday, 21 October 2022","2022-10-21T00:00:00","<not available>","2022-10-31T12:00:00",,"Closed","Supplies: Electrical Equipment","SUPPLY AND DELIVERY OF ELECTRICAL MATERIAL","Eastern Cape","B Ngewu","ngewub@intsikayethu.gov.za","047-874-8740","047-874-0010",," NO"," NO","N/A"
37266,"MPGX006639","Request for Bid(Open-Tender)","KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - MPUMALANGA - Ogies - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Closed","Food and beverage service activities","Supply and Delivery of Fresh Fruits and Vegetables as and when required basis for the period of three (3)years","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",," NO"," NO","N/A"
37270,"MPGXC006640",,"KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - MPUMALANGA - Emalahleni - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Closed","Food and beverage service activities","Regret letter for Supply and Delivery of Meat and Frozen Products as an on and when required basis for a period of three (3)years","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",," NO"," NO","N/A"
37172,"RFP282/2022 ","Request for Bid(Open-Tender)","1258 LEVER ROAD - HEADWAYHILL - HEADWAYHILL - 1618","Development Bank of Southern Africa",true,"Friday, 11 November 2022 - 23:30","Tuesday, 18 October 2022","2022-10-18T00:00:00","Friday, 28 October 2022 - 10:00","2022-11-11T23:30:00","2022-10-28T10:00:00","Closed","Construction of buildings","APPOINTMENT OF CONTRACTORS
FOR REPAIRS & RENOVATIONS OF SCHOOLS UNDER ASBESTOS REMOVAL PROGRAMME IN KWAZULU NATAL PROVINCE
ON BEHALF OF THE KZN DEPARTMENT OF EDUCATION","North West","Noma Rakoma","nomascm@dbsa.org","011-313-3263","N/A","ANEW Hilton Hotel, 1 Hilton Avenue Hilton, Leonard, Pietermaritzburg, 3245. (GPS -29.544965, 30.3002"," Yes","Yes","N/A"
37173,"RFP282/2022 ","Request for Bid(Open-Tender)","1258 LEVER ROAD - HEADWAYHILL - HEADWAYHILL - 1618","Development Bank of Southern Africa",true,"Friday, 11 November 2022 - 23:30","Tuesday, 18 October 2022","2022-10-18T00:00:00","Friday, 28 October 2022 - 10:00","2022-11-11T23:30:00","2022-10-28T10:00:00","Closed","Construction of buildings","APPOINTMENT OF CONTRACTORS
FOR REPAIRS & RENOVATIONS OF SCHOOLS UNDER ASBESTOS REMOVAL PROGRAMME IN KWAZULU NATAL PROVINCE
ON BEHALF OF THE KZN DEPARTMENT OF EDUCATION","North West","Noma Rakoma","nomascm@dbsa.org","011-313-3263","N/A","ANEW Hilton Hotel, 1 Hilton Avenue Hilton, Leonard, Pietermaritzburg, 3245. (GPS -29.544965, 30.3002"," Yes","Yes","N/A"
36827,"NKO 41/2022","Request for Bid(Open-Tender)","9 Park Street -  Malalane -  Malalane - 1320","Nkomazi Local Municipality",true,"Friday, 11 November 2022 - 12:00","Friday, 14 October 2022","2022-10-14T00:00:00","Tuesday, 18 October 2022 - 10:00","2022-11-11T12:00:00","2022-10-18T10:00:00","Closed","Supplies: General","SUPPLY AND DELIVERY OF 1 X 10 M3 TIPPER TRUCK FOR NKOMAZI LOCAL MUNICIPALITY","Mpumalanga","Mr J Du Preez","Jaco.DuPreez@nkomazi.gov.za","013-790-0386","N/A",," Yes"," NO","N/A"
36828,"NKO 41/2022","Request for Bid(Open-Tender)","9 Park Street -  Malalane -  Malalane - 1320","Nkomazi Local Municipality",true,"Friday, 11 November 2022 - 12:00","Friday, 14 October 2022","2022-10-14T00:00:00","Tuesday, 18 October 2022 - 10:00","2022-11-11T12:00:00","2022-10-18T10:00:00","Closed","Supplies: General","SUPPLY AND DELIVERY OF 1 X 10 M3 TIPPER TRUCK FOR NKOMAZI LOCAL MUNICIPALITY","Mpumalanga","Mr J Du Preez","Jaco.DuPreez@nkomazi.gov.za","013-790-0386","N/A",," Yes"," NO","N/A"
36829,"NKO 41/2022","Request for Bid(Open-Tender)","9 Park Street -  Malalane -  Malalane - 1320","Nkomazi Local Municipality",true,"Friday, 11 November 2022 - 12:00","Friday, 14 October 2022","2022-10-14T00:00:00","Tuesday, 18 October 2022 - 10:00","2022-11-11T12:00:00","2022-10-18T10:00:00","Closed","Supplies: General","SUPPLY AND DELIVERY OF 1 X 10 M3 TIPPER TRUCK FOR NKOMAZI LOCAL MUNICIPALITY","Mpumalanga","Mr J Du Preez","Jaco.DuPreez@nkomazi.gov.za","013-790-0386","N/A",," Yes"," NO","N/A"
36830,"NKO 41/2022","Request for Bid(Open-Tender)","9 Park Street -  Malalane -  Malalane - 1320","Nkomazi Local Municipality",true,"Friday, 11 November 2022 - 12:00","Friday, 14 October 2022","2022-10-14T00:00:00","Tuesday, 18 October 2022 - 10:00","2022-11-11T12:00:00","2022-10-18T10:00:00","Closed","Supplies: General","SUPPLY AND DELIVERY OF 1 X 10 M3 TIPPER TRUCK FOR NKOMAZI LOCAL MUNICIPALITY","Mpumalanga","Mr J Du Preez","Jaco.DuPreez@nkomazi.gov.za","013-790-0386","N/A",," Yes"," NO","N/A"
36831,"NKO 41/2022","Request for Bid(Open-Tender)","9 Park Street -  Malalane -  Malalane - 1320","Nkomazi Local Municipality",true,"Friday, 11 November 2022 - 12:00","Friday, 14 October 2022","2022-10-14T00:00:00","Tuesday, 18 October 2022 - 10:00","2022-11-11T12:00:00","2022-10-18T10:00:00","Closed","Supplies: General","SUPPLY AND DELIVERY OF 1 X 10 M3 TIPPER TRUCK FOR NKOMAZI LOCAL MUNICIPALITY","Mpumalanga","Mr J Du Preez","Jaco.DuPreez@nkomazi.gov.za","013-790-0386","N/A",," Yes"," NO","N/A"
36521,"SAT 006/22","Request for Proposal","Suite 302, 117 York Street - Sydney NSW 2000 - Sydney  - 2000","South African Tourism",false,"Wednesday, 13 July 2022 - 11:00","Thursday, 13 October 2022","2022-10-13T00:00:00","<not available>","2022-07-13T11:00:00",,"Closed","Services: Professional","Event Management Agency  for Australia","Gauteng","Vikki Ma","vikki@southafrica.net","011-895-3016","N/A",," NO"," NO","N/A"
36625,"NWGB 2022/4","Request for Bid(Open-Tender)","131 UNIVERSITY DRIVE - MMABATHO - MAHIKENG  - 2745","North West - North West Gambling Board",false,"Monday, 07 November 2022 - 11:00","Thursday, 13 October 2022","2022-10-13T00:00:00","<not available>","2022-11-07T11:00:00",,"Closed","Accommodation","LEASE OF WAREHOUSE THE NORTH WEST GAMBLING BOARD IN EITHER MMABATHO OR MAFIKENG AREA FOR A PERIOD OF FIVE (05) YEARS","North West","SIMON MOGAPI","ceo@nwgb.co.za","018-384-3215","018-384-2290",," NO"," NO","N/A"
36656,"RFQ/FIN/2022/160","Request for Quotation","Corner attilery and Henley Road - Auckland Park  - Johannesburg - 2006","South African Broadcasting Corporation Limited",false,"Thursday, 27 October 2022 - 12:00","Thursday, 13 October 2022","2022-10-13T00:00:00","<not available>","2022-10-27T12:00:00",,"Closed","Administrative and support activities","APPOINTMENT OF A SUITABLE SERVICE PROVIDER FOR PROVISION OF A SOFTWARE FOR PREPARATION OF ANNUAL FINANCIAL STATEMENTS (AFS) FOR A PERIOD OF FIVE (5) YEARS.","National","Blonde","tenderqueries@sabc.co.za","011-714-4644","N/A",," NO"," NO","N/A"
36391,"LIM473/Demarcation-Maseleseleng/22/23/032","Request for Bid(Open-Tender)","Maseleseleng  - Jane Furse - Jane furse - 1085","Makhuduthamaga Local Municipality",false,"Tuesday, 08 November 2022 - 12:00","Wednesday, 12 October 2022","2022-10-12T00:00:00","<not available>","2022-11-08T12:00:00",,"Closed","Other service activities","Demarcation of Maseleseleng","Limpopo","Mothapo KJ","khalabokj@makhuduthamaga.gov.za","013-265-8607","N/A",," NO"," NO","N/A"
36392,"LIM473/Demarcation-Maseleseleng/22/23/032","Request for Bid(Open-Tender)","Maseleseleng  - Jane Furse - Jane furse - 1085","Makhuduthamaga Local Municipality",false,"Tuesday, 08 November 2022 - 12:00","Wednesday, 12 October 2022","2022-10-12T00:00:00","<not available>","2022-11-08T12:00:00",,"Closed","Other service activities","Demarcation of Maseleseleng","Limpopo","Mothapo KJ","khalabokj@makhuduthamaga.gov.za","013-265-8607","N/A",," NO"," NO","N/A"
36214,"iLABS/RFQ 2022/23:169","Request for Quotation","iThemba LABS, Old Faure Road - Faure - Cape Town - 7131","National Research Foundation",false,"Monday, 24 October 2022 - 11:00","Monday, 10 October 2022","2022-10-10T00:00:00","<not available>","2022-10-24T11:00:00",,"Closed","Electricity, gas, steam and air conditioning","Supply and delivery of Whirly Bird Tornado to iThemba Labs, Faure, Western Cape","Western Cape","Ms. Lee-Ann Benjamin/ Mr. Ebrahim Majiet","scm1@tlabs.ac.za","021-843-1381","N/A",," NO"," NO","N/A"
36077,"21/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Monday, 07 November 2022 - 00:00","Friday, 07 October 2022","2022-10-07T00:00:00","<not available>","2022-11-07T00:00:00",,"Closed","Professional, scientific and technical activities","Closing Register: Appointment of Service Provider for Fire Protection Services to iSimangaliso Wetland Park ","KwaZulu-Natal","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",," NO"," NO","N/A"
36078,"22/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Monday, 07 November 2022 - 00:00","Friday, 07 October 2022","2022-10-07T00:00:00","<not available>","2022-11-07T00:00:00",,"Closed","Supplies: General","Closing Register: Appointment of Service Provider for Supply and Delivery of Herbicides for a period of three years to iSimangaliso Wetland Park Authority","KwaZulu-Natal","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",," NO"," NO","N/A"
35677,"SASSA: 21-22-GA-WC","Request for Bid(Limited-Tender","SASSA Western Cape Regional Office - 20th Floor, Golden Acre Building Cnr Adderley & Strand Street - Cape Town  - 8000","South African Social Security Agency",false,"Friday, 28 October 2022 - 11:00","Wednesday, 05 October 2022","2022-10-05T00:00:00","<not available>","2022-10-28T11:00:00",,"Closed","Services: Professional","Contracting of medical practitioners to conduct medical assessments for SASSA Western Cape region for a period of 12 months.","Western Cape","Ms Nolitha Manzana ","WCBids@sassa.gov.za","021-469-0382","N/A","Microsoft Teams "," Yes"," NO","as per the TOR "
35137,"NCDTSL01/2022","Request for Proposal","CNR LENNOX AND SIDNEY STREET - KIMBERLEY - KIMBERLEY - 8345","Northern Cape - Transport Safety and Liaison",false,"Monday, 03 October 2022 - 11:00","Friday, 30 September 2022","2022-09-30T00:00:00","<not available>","2022-10-03T11:00:00",,"Closed","Services: Professional","PROPOSAL FOR APPOINTMENT OF A TRANSACTIONAL ADVISOR SERVICE TO CONDUCT ASSESSMENT FEASIBILITY STUDY AND IMPLEMENTATION OF THE MANAGEMENT AND CONSTRUCTION OF WEIGHBRIDGES IN THE NORTHERN CAPE PROVINCE.","Northern Cape","M NCUBE","mncube@ncpg.gov.za","053-839-1700","N/A",," NO"," NO","N/A"
35142,"NCDTSL2/2022","Request for Bid(Open-Tender)","CNR LENNOX AND SIDNEY STREET - KIMBERLEY - KIMBERLEY - 8345","Northern Cape - Transport Safety and Liaison",false,"Monday, 03 October 2022 - 11:00","Friday, 30 September 2022","2022-09-30T00:00:00","<not available>","2022-10-03T11:00:00",,"Closed","Accommodation","APPOINTMENT OF A TRAVEL MANAGEMENT COMPANY TO PROVIDE TRAVEL MANAGEMENT SERVICES TO THE NORTHERN CAPE DEPARTMENT OF TRANSPORT, SAFETY AND LIAISON","Northern Cape","M NCUBE ","mrattle@ncpg.gov.za","053-839-1703","N/A",," NO"," NO","N/A"
